AnR,Work,Status,Period,From
Uniwin Music,다수의 아티스트 컨셉팅 및 A&R,완료,2019/02/01 → 2021/02/01,Blondie
Blondies,외주 A&R 서비스 및 개인 아트 프로젝트,진행 중,2024/03/03,Blondies
